Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
CRM260130C00275000,CRM260130C00275000,Sell,Filled,1,1,@3.3500000000,3.3500000000,DAY,01/07/2026 09:54:51 EST,01/07/2026 09:55:09 EST
SPY Vertical,,Buy,Filled,1,1,@0.9900000000,0.9900000000,DAY,01/07/2026 09:50:17 EST,01/07/2026 09:50:44 EST
,SPY260213P00679000,Buy,Filled,1,1,@6.14,6.14,DAY,01/07/2026 09:50:17 EST,01/07/2026 09:50:44 EST
,SPY260213P00674000,Sell,Filled,1,1,@5.15,5.15,DAY,01/07/2026 09:50:17 EST,01/07/2026 09:50:44 EST
COIN260130C00270000,COIN260130C00270000,Sell,Filled,1,1,@4.9000000000,4.9000000000,DAY,01/07/2026 09:36:04 EST,01/07/2026 09:39:15 EST
QQQ Vertical,,Buy,Filled,2,2,@0.9900000000,0.9900000000,GTC,01/06/2026 12:49:04 EST,01/06/2026 12:49:23 EST
,QQQ260213P00601000,Buy,Filled,2,2,@6.84,6.84,GTC,01/06/2026 12:49:04 EST,01/06/2026 12:49:23 EST
,QQQ260213P00596000,Sell,Filled,2,2,@5.85,5.85,GTC,01/06/2026 12:49:04 EST,01/06/2026 12:49:23 EST
QQQ Vertical,,Buy,Filled,3,3,@0.1100000000,0.1100000000,GTC,01/05/2026 09:38:35 EST,01/05/2026 09:40:11 EST
,QQQ260112P00585000,Buy,Filled,3,3,@0.270,0.270,GTC,01/05/2026 09:38:35 EST,01/05/2026 09:40:11 EST
,QQQ260112P00580000,Sell,Filled,3,3,@0.160,0.160,GTC,01/05/2026 09:38:35 EST,01/05/2026 09:40:11 EST
QQQ Vertical,,Buy,Filled,1,1,@0.1300000000,0.1300000000,GTC,01/05/2026 09:35:12 EST,01/05/2026 09:39:02 EST
,QQQ260109P00593000,Buy,Filled,1,1,@0.350,0.350,GTC,01/05/2026 09:35:12 EST,01/05/2026 09:39:02 EST
,QQQ260109P00589000,Sell,Filled,1,1,@0.220,0.220,GTC,01/05/2026 09:35:12 EST,01/05/2026 09:39:02 EST
QQQ Vertical,,Buy,Filled,2,2,@0.1200000000,0.1200000000,DAY,01/05/2026 09:33:25 EST,01/05/2026 09:33:26 EST
,QQQ260109P00593000,Buy,Filled,2,2,@0.300,0.300,DAY,01/05/2026 09:33:25 EST,01/05/2026 09:33:26 EST
,QQQ260109P00589000,Sell,Filled,2,2,@0.180,0.180,DAY,01/05/2026 09:33:25 EST,01/05/2026 09:33:26 EST
QQQ Vertical,,Sell,Filled,3,3,@1.2900000000,1.2900000000,GTC,01/02/2026 15:50:43 EST,01/02/2026 15:51:06 EST
,QQQ260213P00601000,Sell,Filled,3,3,@9.61,9.61,GTC,01/02/2026 15:50:43 EST,01/02/2026 15:51:06 EST
,QQQ260213P00596000,Buy,Filled,3,3,@8.32,8.32,GTC,01/02/2026 15:50:43 EST,01/02/2026 15:51:06 EST
QQQ Vertical,,Sell,Filled,3,3,@0.2300000000,0.2300000000,GTC,01/02/2026 12:08:07 EST,01/02/2026 12:08:28 EST
,QQQ260112P00585000,Sell,Filled,3,3,@0.790,0.790,GTC,01/02/2026 12:08:07 EST,01/02/2026 12:08:28 EST
,QQQ260112P00580000,Buy,Filled,3,3,@0.560,0.560,GTC,01/02/2026 12:08:07 EST,01/02/2026 12:08:28 EST
QQQ Vertical,,Sell,Filled,3,3,@0.3000000000,0.3000000000,DAY,01/02/2026 10:57:17 EST,01/02/2026 10:57:37 EST
,QQQ260109P00593000,Sell,Filled,3,3,@1.12,1.12,DAY,01/02/2026 10:57:17 EST,01/02/2026 10:57:37 EST
,QQQ260109P00589000,Buy,Filled,3,3,@0.820,0.820,DAY,01/02/2026 10:57:17 EST,01/02/2026 10:57:37 EST
TSLA260206C00480000,TSLA260206C00480000,Buy,Filled,1,1,@13.6000000000,13.6000000000,GTC,01/02/2026 10:30:00 EST,01/02/2026 11:07:20 EST
TSLA260206C00480000,TSLA260206C00480000,Sell,Filled,1,1,@14.9000000000,14.9000000000,DAY,01/02/2026 10:24:07 EST,01/02/2026 10:24:24 EST
CRM260206C00270000,CRM260206C00270000,Buy,Filled,1,1,@3.6500000000,3.6500000000,GTC,01/02/2026 10:19:11 EST,01/02/2026 10:22:12 EST
CRM260206C00270000,CRM260206C00270000,Sell,Filled,1,1,@4.1900000000,4.1900000000,DAY,01/02/2026 10:11:09 EST,01/02/2026 10:13:16 EST
SPY Vertical,,Buy,Filled,1,1,@1.0700000000,1.0700000000,GTC,12/31/2025 10:29:59 EST,01/06/2026 12:50:02 EST
,SPY260213P00679000,Buy,Filled,1,1,@6.57,6.57,GTC,12/31/2025 10:29:59 EST,01/06/2026 12:50:02 EST
,SPY260213P00674000,Sell,Filled,1,1,@5.50,5.50,GTC,12/31/2025 10:29:59 EST,01/06/2026 12:50:02 EST
